   1.5039628e-02   6.3460677e-02   1.4999970e+00  -1.9196886e-07   1.4856516e+00  -2.8383973e+00
   1.2115760e-01  -1.3928199e-01   1.4999997e+00  -1.6835449e-07   1.4848563e+00  -1.4603316e+00
   2.2716196e-01  -1.4515813e-01   1.4999999e+00  -1.4394475e-07   1.4843992e+00  -2.3466870e-02
   3.3321463e-01  -1.4263440e-01   1.4999998e+00  -1.4819467e-07   1.4849357e+00   4.3111460e-02
   4.3929563e-01  -1.3899935e-01   1.4999999e+00  -1.5072828e-07   1.4857044e+00   1.0318700e-02
   5.4545811e-01  -1.4116030e-01   1.4999998e+00   1.9168409e-08   1.4851301e+00  -8.8951030e-02
   6.5145707e-01  -1.5170664e-01   1.4999999e+00  -5.3294485e-07   1.4830705e+00  -6.3205800e-03
   7.5732533e-01  -1.4206324e-01   1.4999999e+00  -3.0367455e-07   1.4852763e+00   1.9881935e+00
   8.6363940e-01   1.3232101e-01   1.4999999e+00   4.1701811e-07   1.4869731e+00  -4.4217040e-02
   9.6975006e-01  -1.4837996e-01   1.4999999e+00   1.6229361e-08   1.4837095e+00   1.6024043e-01
   1.0755979e+00   1.5521250e-01   1.4999999e+00  -7.1817507e-07   1.4823560e+00   8.3901020e-02
   1.1815152e+00  -1.3639410e-01   1.4999999e+00   1.7369650e-07   1.4864185e+00  -2.0375738e+00
   1.2879434e+00  -1.3586947e-01   1.4999999e+00   5.2569013e-07   1.4862757e+00   1.9710710e+00
   1.3938403e+00   1.4518747e-01   1.4999999e+00  -2.1689048e-07   1.4845026e+00   1.8973382e+00
   1.5000152e+00   1.3517884e-01   1.4999999e+00  -1.4730587e-07   1.4864486e+00  -1.4012082e-01
